image,description,display name,category
29343.jpg,"Composition White round neck T-shirt made of 100% cotton, has a ribbed round neckline with tape detailing on the in-seam, short sleeves, brand tag on the left sleeve and graphic print on the front  Fit Slim  Wash care Machine wash in cold water with like colours using a mild detergent Do not bleach Line dry inside out in shade Warm iron: do not iron on decorations  Update your casual style with this white T-shirt from probase. The graphic print gives this tee a stylish edge while the soft cotton fabric keeps you comfortable all day. Team this with jeans and sneakers for a cool look.  Model statistics The product is a size M on a model of height 6' and shoulders 18”",Probase Men Printed White T-shirt,Tshirts
28516.jpg,"Composition Blue and red striped FC Barcelona team jersey for men made of 100% polyester, has a round neck, short sleeves, UNICEF logo printed on the back, applique on the sleeve and team logo appliquéd on the left chest Fit Regular Wash care Machine wash cold at 30 degrees with like colours Do not bleach Tumble dry low Remove immediately/do not allow to lay on itself when wet Cool iron, but do not iron on design Do not dry clean Authentic FCB merchandise from nike for the soccer fan! If your heart beats for the Barcelona team, then this jersey is a must-have in your collection. Team this with shorts and soccer cleats for the ultimate look and feel of the game.",Nike Men Home Red Jersey,Tshirts
48645.jpg,"Style Note lucera, or & lsquo luminous star& rsquo  in Spanish, is designed for fashionistas who like to shine! Lucera fashion jewellery offers contemporary designs to complement the various moods of the modern and fashion conscious woman of today. What makes these earrings a must buy is the fact that these earrings are easily paired and will match most of the outfits in your wardrobe in elegance and style.   Product Details Silver coloured earrings String of CZ diamonds with a floral CZ diamond encrusted dangler Push back closure   Material and Care Silver and CZ Diamonds Wipe with a cotton swab when needed",Lucera Women Silver Earrings,Earrings
29870.jpg,"Lens colour: Brown Lens type: Lens with UV protection Frame colour: Gold-toned Frame type: Stylised oval metal full frame, has plastic casing on the ends of the arms High bridge with flexible nose pads",Mayhem Men Aviator Sunglasses 1023-201,Sunglasses
2691.jpg,Composition: 100% cotton denim shorts Washcare: Machine wash in cold water with a gentle cycle using mild detergent. Wash dark colours seperately. Do not bleach. Do not soak nor wring. Dry it inside out. Do not tumble dry. Do not iron on print and studs. Fitting: Comfort Fit These light weight denim shorts from disney are ideal for toddlers in summer. Team it up with casual tops when you take your little tot is all set for a fun-filled evening.,Disney Kids Boy's Mickey Blue Denim Kidswear,Shorts
50936.jpg,"Black vest, has a round neckline, sleeveless and grey panel in front",Parx Men Black Innerwear Vests,Innerwear Vests
9818.jpg,"Composition Dark grey round neck T-shirt with short sleeves, made of 100% cotton, has fabric tape detailing on the inseam of the neckline and graphic print on the front with lettering in a slightly distressed look Fitting Regular Wash care Machine wash inside out with like colours in lukewarm water at 40 degrees Do not bleach Dry in shade Do not iron directly on print Made for assertive girls, this dark grey t-shirt from little miss belongs in your wardrobe if you know how to get your work done from people! A no-nonsense girl that you are, this tee will make it clear to the world that they better not mess with you. Team it with jeans, shorts or capris and boss around! Model statistics The model wears size M in t-shirts Height-5.7"", Chest-33""",Little Miss Women Printed Dark Grey T-shirt,Tshirts
46251.jpg,"Multi coloured printed tunic, has a round neckline crochet detail around it, short sleeves with lace detail at the cuffs and gathers from below the neckline    ",Fusion Beats Women Mustard Printed Tunic,Tunics
11488.jpg,This watch from puma comes in a heavy duty design. The stylish dial and chunky casing gives this watch a tough appearance - perfect for navigating the urban jungle. Case diameter : 32 mm Dial shape : Rectangle Warranty : 2 Years Stainless steel case with a fixed bezel Leather straps with a tang clasp White dial with the jumping cat logo at the 12 hour mark Dual time display Date aperture at the 3 hour mark Screw to reset time Solid case back made of stainless steel for enhanced durability Water resistant upto 100 metres,Puma Men Acceleration White Watch,Watches
23067.jpg,"Composition Brown knitted sweater with yellow stripes, made of 50% Merino wool and 50% acrylic, has a ribbed v-neckline, long sleeves with ribbed cuffs, embroidered branding on left chest and a ribbed hemline Fit Regular Wash care Machine wash in cold water using a mild detergent Do not bleach or tumble Dry flat Fold and stack to maintain shape The embroidered brand detailing on the left chest adds sophisticated styling to this knitted sweater from arrow, while the blended fabric keeps you feeling comfortable all day. Team it with shirts or t-shirts, jeans and sneakers. Model statistics Product is a size M on a model of height 6' and shoulders 18""",Arrow Men Brown Striped Sweater,Sweaters
56681.jpg,"Case style: Stainless steel round case Dial style: Black dial with copper and white coloured hands  Strap style: Brown synthetic leather strap with faux crocodile skin pattern and a tang clasp  Features: B randing on the 12 and 6 hour mark, a screw to reset time and date aperture at the 3 hour mark, three dials on face, buttons for stopwatch  Waterproof to 3 ATM, wearable around sinks and in mild rains  Warranty:    1 year  ",Maxima Men Black Dial Chronograph Watch,Watches
4585.jpg,"Black solid backpack Non-padded haul loop, ergonomic shoulder straps 1 main compartment with zip closure Padded back Padded shoulder strap: Padded Water-resistance: No Warranty: 18 months Disclaimer: Please note that the thread colour in the brand logo may vary from the image shown? Warranty provided by Brand Owner / Manufacturer",Wildcraft Unisex Black Solid Backpack,Backpacks
43294.jpg,"Style Note Crafted by skilled Indian craftsmen, murcia bags use the finest materials in their products. This stylishly silhouetted bag embodies the essence of the modern Indian woman - unapologetically fashionable. If you're looking for a bag with class and quality, you can expand your collection with this accessory. Product Details Red sling bag, flap opening with metallic closure , tassel attached to metallic ring detail, one main compartment with internal zipper, long adjustable strap woven through metallic loops. Material and Care Leatherette Wipe with cloth when required Size Length: 21 cm Width: 28 cm Depth: 2 cm",Murcia Women Maroon Elektra Sling Bag,Free Gifts
38623.jpg,"Green polo T-shirt, has short sleeves with ribbed cuffs, chest buttoned placket, branding on the left chest, print on the front and a vented hem  ",Nike Men Green Polo T-shirt,Tshirts
16876.jpg,"High on style, this pair of sunglasses from IDEE comes in a styled frame. An eclectic mixture of fashion and substance, its shape provides the perfect Fit over the root of your nose. These glasses come with a sturdy case for safekeeping.  Tinted lens for use in normal daylight conditions Thin metal frame in an aerodynamic design Rectangular lens for absolute style and protection from elements Flexible hinges for durability and ease of wear Flexible nose pads made of durable rubber to hold the glasses in place, ensuring there is no friction with the skin   Care Remove dust and grime by gently wiping the lens with the cloth provided Remove oil or tough stains with the help of a lens cleaner Do not use your fingers on such stains Do not place glasses on uneven surface or heated areas like the dashboard of a car",Idee Men Funky Eyewear Brown Sunglasses,Sunglasses
28194.jpg,"High on style, this pair of sunglasses from the ray-ban collection comes in a styled frame. An eclectic mixture of fashion and wearablility, its shape provides that perfect Fit over the root of your nose. The glasses come in a signature Ray-Ban case.  Lens width: 52 mm Warranty: 1 year  Tinted high optical precision and impact resistant lens Stylised thin metal frame in an aerodynamic design for absolute comfort and durability Oval lens for absolute style and protection from the elements Flexible hinges for durability Flexible nose pads made of rubber with a nose bridge to hold the glasses in place, ensuring there is no friction with the skin   Care Remove dust and grime by gently wiping the lens with the cloth provided Remove oil or tough stains with the help of a lens cleaner Do not use your fingers on such stains Do not place glasses on uneven surface or heated areas like the dashboard of a car Warranty provided by Brand Owner / Manufacturer",Ray-Ban Men Sunglasses,Sunglasses
30253.jpg,"These numero uno chunky boots with sturdy soles, leather upper and rugged design are a closet essential. If you're heading off into the wild wear these shoes to protect your feet, or if you want to capture a manly workwear style, wear this pair with distressed denims and a T-shirt and throw on a leather jacket.  Upper Smooth brown leather upper for durability and comfort Tuck detail at the heel for a curved Fit and style Leather collar in black Fleecy inner and suede footbed for foot comfort Lace-up system in a derby style for snug, customised fit Brand tab on tongue Pull loop on heel   Midsole  Enhanced midsole for lightweight, cushioned comfort   Outsole  Chunky heel with open leather effect Durable outsole with heavy duty grooves and lugs   shoe care  Wipe surface with soft, clean, cloth or brush, cold water and mild detergent to remove dust Do not machine wash or use a drier Avoid storing shoes in extremely hot conditions or in direct sunlight",Numero Uno Men Brown Shoes,Casual Shoes
18934.jpg,"Composition Purple round neck T-shirt made of 100% cotton, has short sleeves, a ribbed neckline with embroidery and graphic print   Fit  Regular   Wash care  Delicate machine wash Do not bleach or dry clean Warm iron  Nothing exudes relaxed style as much as a Levi's T-shirt. Wear this classic style to any off-duty event to look your stylish best. Pair this tee with a classic denims and suede shoes to snazz up your style.   Model statistics  Product is a size M on a model of height 6', chest 39” and shoulders 18""",Levi'si Men Embroidery Purple Tshirt,Tshirts
56875.jpg,"Heel: 3.25""  Open toed sandal with thong style straps and a toe separator Bead and stone embellished straps Soft, shiny footbed with a heel patch A slim, tapering heel with a plastic heel cap Non-slip outsole with herringbone grooves along the midfoot region",HM Women Black Heels,Heels
53360.jpg,"Pink tri fold wallet that has two main compartments and stitch detailing One insert pocket with one id card holder, a flap with four insert pockets One zipped pocket for coins and branding on the top of the wallet One insert pocket at the back",Puma Woman Pink Big Cat Wallet,Wallets
57570.jpg,"Ultra moisturising lipstick with botanical moisturising and natural extracts which gives soft, silky and comfortable feel to lips",Lotus Herbals Pure Colours Lipstick 690,Lipstick
16105.jpg,"Hot, hip and happening - brand MTV has caught the nerve of the new generation like no other. This MTV eyewear is desgned to make one stand out in a crowd and is fashioned to dress those who wear their appetite to win up their sleeves.  This set of glasses comes in a sturdy fiber case with felt lining for easy and delicate storage.  Fitted with shatterproof polycarbonate lenses that filter out 100% UVA and UVB rays Protection from bright sunshine Stylised fibre frame in a classic design with rounded rectangular lens for absolute comfort and durability Flexible plastic nose holders to hold the glasses in place, ensuring there is no friction with the skin   Care  Remove dust and grime by gently wiping the lens with the cloth provided Remove oil or tough stains with the help of a lens cleaner Do not use your fingers on such stains Do not place glasses on uneven surface or heated areas like the dashboard of a car",M tv Women My Fab Eyewear Purple Sunglasses,Sunglasses
51443.jpg,"Style Note With its classic styling this shirt from myntra is a piece that will easily slot into your daily wear wardrobe. Made of pure cotton this shirt lets you stay comfortable even on sunny days. Pair it with crisp trousers and pumps for a look that exudes complete control and confidence. Product Details Yellow shirt, spread collar, cap sleeves with binding, full buttoned placket, yoke at back and a curved hem Material and Care 100% cotton Machine wash cold Warm iron Size and Fit Regular fit The model (height 5'8"" and chest 33"") is wearing a size M",Myntra Women Yellow Shirt,Shirts
36059.jpg,"Olive green duffle bag One long adjustable shoulder strap, two short handles One main compartment with a zip pocket Three external pockets",OTLS Unisex Olive Green Duffle Bag,Duffel Bag
39896.jpg,"Blue sports shoe Meshed upper, central laceups, tristripe at side Padded tongue Soft foodbed Tough outsole with grooves for traction",ADIDAS Women Blue Adi Light Sports Shoes,Sports Shoes
30841.jpg,"Composition Magenta kurta, made of cotton fabric, has a round slit neckline, three quarter sleeves, pin-tucks and a vented hem Fit Regular Wash care Hand wash separately in cold water using mild detergent Dry in shade Do not soak This unique fabric has been dyed/ printed using traditional dyeing processes. Some colours may initially transfer when in dry or wet contact with light coloured fabrics or upholstery. This transfer will reduce after a few washes but we recommend that you wash the product separately for the first few washes. fabindia specialises in natural, craft-based contemporary pieces, while also providing rural craft persons a platform to use traditional dyeing and fabric printing techniques. With the essence of Indian roots, crafted with a focus on the traditional, this kurta sets the tone for an all-new ethnic trend. Wear this with denims or cotton pants or leggings. Model statistics The product is a a size M on a model of height 5'8"" and chest 33& rdquo",Fabindia Women Magenta Kurta,Kurtas
53415.jpg,"Rust orange kurta, has a rounded V-neckline, a tape detail along the bust, tucks below the bust, three quarter sleeves and a vented hem",Alma Women Orange Kurta,Kurtas
44591.jpg,"Style Note You know you can trust van heusen when it comes to sharp formal essentials that help make the right board room impression. When the brand comes up with belts, now that's the cherry on top of a fantastic formal ensemble. Classy, elegant yet minimalistic (the mood of the moment) style this belt with a tonal pair of shoes! Product Details Textured belt, brown on one side and black on the other Has a tang clasp which you can pull and twist to change belt colour Has holes to customise the Fit Material and Care Leather Wipe with a clean cloth to remove dust",Van Heusen Men Black and Brown Reversible Belt,Belts
14965.jpg,"Crafted from pure leather with a grosgrain fabric lining along the small pockets, this three-fold wallet from Newhide is a great addition to your everyday wardrobe. The soft natural leather removes bulk, making this a slim, sleek wallet for occasions when only the best will do.  Leather for flexibility and suppleness Two main compartments with fabric inner lining Multiple partitions on the two front halves to stash away cards and coins   Care  Wipe surface with a dry, clean cloth to remove dust",Newhide Smooth Finish Wallet,Wallets
26940.jpg,"Composition Blue round neck top made of 100% cotton, has short sleeves and graphic print on the chest  Fit  Regular   Wash care  Wash dark colours separately in warm water (maximum 40 degrees) Use mild detergent Do not wring or bleach Flat dry in shade Do not iron on print  jealous 21 stays in-vogue with this stylish piece that is sure to become a love-forever favourite in your casual wardrobe. Wear it with form fitting denims and a blazer, style with understated accessories and peep-toe shoes.   Model statistics  The product is a size M on a model of height 5'8"" and chest 33""",Jealous 21 Women Printed Navy Blue T-shirt,Tshirts
37408.jpg,"Style Note Crafted by skilled Indian craftsmen, murcia bags use the finest materials in their products. This stylishly silhouetted bag embodies the essence of the modern Indian woman - unapologetically fashionable. This bag with its blended upper and elegant metal hardware adds a stylish spin to your off-duty ensembles. If you're looking for a bag with class and quality, you can expand your collection with this accessory. Product Details Blended upper One main compartment with one zipped pocket and a metallic handle design cut through the top with crystal embellishments  and a magnetic buttoned closure Zipped pocket on the back One metallic embellishment on the right side Material and Care Blended Wipe surface with a dry, clean cloth to remove dust Size Height: 30 cm Width: 27 cm Depth: 7 cm",Murcia Women Pink Handbag,Handbags
42516.jpg,Style Note mother earth's focus on providing livelihoods for rural artisans resulted in this handmade kurti that fuses earthy goodness with a modern cut and silhouette. This piece epitomises how fashion,Mother Earth Women Blue Kurti,Kurtis
37726.jpg,"Style note  This john players shirt gets a sartorial stamp of approval, with it's refined collar, silhouetted tailoring and it's fine, luxe fabric. Make the right impression with this shirt - be it on lazy weekends or during after-hours dinner. The best bet for semi-formal Fridays, wear this with fitted denims and ankle boots!   Product Details  Blue and yellow checked shirt made of 100% cotton, has a spread collar, long sleeves with buttoned cuffs, a patch pocket on the left chest, brand embroidered above the left chest pocket and a curved hem   Material and Care  100% cotton  Dry clean or machine wash with like colours only  Use a non-chlorine bleach if needed  Line dry inside-out in shade  Warm iron   Size and Fit  Trim Fit  The model (height 6' and shoulders 18"") is wearing a size 40",John Players Men Soft Check Shirt,Shirts
54069.jpg,-,ADIDAS Men Navy Blue Flip Flops,Flip Flops
15865.jpg,"A great shoe for casual days out, the Scooby Doo Sill Shoe from Warner Brothers makes for a perfect addition to your little one's wardrobe. With a fun upper, cushioned footbed and grippy outsole, you are assured that your little one has the feet firm on the ground.   Upper  Synthetic leather upper with a meshed forefoot Velcro straps on the midfoot for a custom Fit Padded tongue, collar and footbed with fabric lining for sweat-free comfort Scooby Doo cartoon embossed on the lateral midfoot   Midsole  EVA midsole for lightweight comfort and impact protection   Outsole  Durable rubber outsole with oval lugs and grooves for absolute grip and traction   Care  Wipe surface with a clean, dry cloth to remove dust Do not store in direct sunlight",Warner Bros Kids Unisex SD Silly Shoe Blue Casual Shoes,Casual Shoes
24661.jpg,"Made of 82% cotton, 16% nylon and 2% elastane Wide rib at opening for better grip Three dimensional shaped heel and toe for best Fit Branding printed on the socks  Wear these cute socks with trainers when you're working out. adidas ensures that all their products are designed to offer the best performance and these socks are no exception.  Sock care Machine wash in warm water below 40 degrees using a mild detergent Do not iron, bleach, tumble dry or dry clean",ADIDAS Originals Men White Casual Socks,Socks
49478.jpg,Mid-top chukka shoes with four-hole lace-ups and seams around the toe box Metal eyelet and lace detail along the mouth of the shoe Padded insole and a loop at the heel collar PU midsole TPU sole,Vans Men Grey Shoes,Casual Shoes
5839.jpg,"Composition Teal blue round neck t-shirt made of 100% cotton with ribbed neckline, tape detailing on the inseam of the collar,  subliminal graphic print on the front with rubber print on the chest and cat logo printed on the back below neckline Fitting Regular Wash Care   Gentle machine wash with similar colours in cool water  Use mild detergent  Do not bleach  Tumble dry at low temperature  Warm iron  Do not dry clean  Wash and iron inside out   Look cool this summer in this teal blue tee from puma inspired by Motorsports. The subliminal print on the front with images of racing car parts and bikes infuses this tee with a big dose of racing spirit. Team this with jeans and canvas shoes for a casual look. Model statistics The model wears size M in t-shirts Height-6', Shoulders-18""",Puma Men's Motorsport Better Blue T-shirt,Tshirts
36222.jpg,"Get ready to score those fantastic goals in these nike Total90 Shoot IV HG-B men's soccer cleats. Designed to provide you with superior traction, support and ball control, these soccer shoes are a hot favourite. Upper Synthetic leather upper for lightweight comfort with uniform surface to facilitate shot accuracy at instep Textured screen on the upper to help spin the ball for swerve shot Asymmetric lacing system for a snug Fit Appliquéd swoosh logo on the side Lightly cushioned collar for comfort and support Midsole EVA sockliner for lightweight cushioning and to reduce cleat pressure Outsole Lightweight outsole with optimized cleat placement for traction and stability Hard Ground cleats for enhanced support on hard courts shoe care Wipe surface with soft, clean, damp cloth to remove dust Do not machine wash",Nike Men T90 Shoot IV HG-B Grey Sports Shoes,Sports Shoes
25319.jpg,"Case style: Analogue watch with circular stainless steel case Dial style: Black dial, seconds hand, gold-toned minute and hour hands with white inlay, gold toned and white markings, Tachymeter along the edge of the dial Features: Screw to reset the time, day and date aperture near the 3-hour mark, three face chronograph displays, two push buttons to reset the chronograph Strap style: Silver toned, bracelet style strap with a butterfly clasp closure Water resistant up to 100 meters Warranty: 2 years Warranty provided by Brand Owner / Manufacturer To register this product online for warranty, the customer has to visit https://register.casio.in. Post login, please select the 'Online Store' option and follow the steps for registration.",Casio Edifice Men Multi-Dial Watch EF-328D-1A5VDF(ED374),Watches
59580.jpg,Steel coloured pair of cuff-links with brown enamel detail  square Hinged back to hold cuff in place,Revv Men Steel and Brown Cufflinks,Cufflinks
55984.jpg,"Nourished with Vitamin E, its unique 2-in-1 formulation gives the lips a creamy, yet matte finish",Colorbar Velvet Matte Love That Rust Lipstick 48 BR,Lipstick
43062.jpg,"Style Note If you're looking for a sport-inspired, casual tee which won't let you down in either style or performance, then your search is over! This T-shirt from nike has an ace print on the front, just what you need to perfect your effortlessly fashionable casual look. Product Details Charcoal grey Portugal T-shirt with round neck, short sleeves, graphic print on front, Nike swoosh on bottom left and Portugese Football Federation logo at the nape Material and Care 100% cotton Machine wash warm with like colours Do not bleach Tumble dry low Warm iron Size and Fit Slim fit",Nike Men Charcoal Grey Portugal Football T-shirt,Tshirts
17925.jpg,"Composition Blue capris made of 61% cotton, 33% polyester and 6% spandex, has a broad elasticated waistband and drawstring, elasticated hem and has embroidered branding below the waistband on the left and at the back on the right  Fitting Regular  Wash care Gentle machine wash inside out with like colours using cold water Do not bleach, or dry clean Line dry Do not iron  Whatever the occasion, be it a visit to the mall or park, jogging or just hanging out with friends, this pair of capris from nike is a well deserved addition to your casual wardrobe. The sporty look does wonders for your casual style and the soft fabric keeps you extremely comfy. Pair it with a sporty T-shirt and running shoes .  Model Statistics Product is a size M on a model of height 6' and waist 28""",Nike Women Casual Blue Capri,Capris
46505.jpg,"Article Number: NL11 Case style: Analogue watch with a rectangular case and a stainless steel back Dial style: Gold toned, textured dial with branding, gold toned hands and markings, seconds display above the 6 hour mark Features: Screw to reset the time Strap style: Dark brown, textured leather strap, secured with a tang clasp and two loops Water resistant Comes in a signature Timex Empera case Warranty: 1 year from the date of purchase against manufacturing defects",Timex Empera Men Gold Toned Dial Watch NL11,Watches
11573.jpg,"Composition Green kurti with intricate fish print, made of 100% cotton, has cap sleeves, and a round neck with a green lining extending to the buttoned chest placket Fitting Regular Wash care Wash dark colours separately Do not bleach Dry in shade Hot iron inside out Ethnic is back with a bang with this green printed kurta from w! Look ethnically hip and fresh in this fish print, while the pure cotton fabric keeps you absolutely fresh and comfortable through the day. Team it with leggings or a loose kameez, heeled slippers and chunky accessories for a chic look. Model statistics The model wears size M in kurtas Height-5.6"", Chest-32""",W Women Printed Green Kurtas,Kurtas
27442.jpg,"Blue T-shirt, round neck, short sleeves, branding at hem",Jockey Women Blue T-Shirt,Tshirts
4371.jpg,"Composition Washed grey round neck t-shirt in 100% cotton, with chest print Fitting Comfort Wash care   only hand wash gently  Do not machine wash  Do not iron on print  Dry inside-out in shade   Indulge in childhood fantasies with this washed grey disney tee brought to you by bioworld. The distressed graphic of mickey and Pluto does not detract from the nostaligia it evokes. Team this with faded denims and fashionable lifestyle shoes available in a wide range at myntra for a cool casual look. Model statistics The model wears size M in t-shirts Height-6.2'', Shoulders-16""",Mickey Men's Pluto Order Comic Charcoal T-shirt,Tshirts
52512.jpg,"Red and white striped bath robe, has an open front, short grown-on sleeves, a patch pocket, and belt loops at the waist, and an attached belt on the back",Red Rose Red Striped Bath Robe,Bath Robe
59598.jpg,Brown and green embroidered crepe and jacquard sari with sequin work,FNF Brown Wedding Collection Sari,Sarees
44148.jpg,"Style Note nike fragrances greets you with sporty fragrances that are long lasting and smell great. Put yourself in nike Fragrances's expert care with this deodorant.  Product Details Nike Fragrances Casual is a sporty deodorant for men that comes in an aerosol spray canister  Caution Do not use near fire, flame or heat Avoid spraying in eyes  Size 200 ml",Nike Fragrances Men Casual Deo,Deodorant
45292.jpg,"Case style: Small dial Analogue watch with a stainless steel, silver-toned rectangular case Dial style: Silver-toned dial Features: Screw to reset time Strap style: Silver-toned, stainless steel, bracelet style strap with a butterfly clasp closure Water-resistant Comes in a signature CASIO case Warranty: 2 years from date of purchase against manufacturing defects To register this product online for warranty, the customer has to visit https://register.casio.in. Post login, please select the 'Online Store' option and follow the steps for registration.",CASIO Enticer Women Silver Analogue Watch LTP-1233D-7ADF SH49,Watches
