image,description,display name,category
30738.jpg,"Composition Navy blue bhagalpur sleeveless ethnic jacket made of a cotton blended fabric, has a Nehru collar, full buttoned placket, two insert pockets on the sides with a smaller insert pocket on the left chest and a vented hem  Fit Regular  Wash care Wash dark colours separately Do not bleach Dry inside out in shade This unique fabric has been dyed/ printed using traditional dyeing processes. Some colours may initially transfer when in dry or wet contact with light coloured fabrics or upholstery. This transfer will reduce after a few washes but we recommend that you wash the product separately for the first few washes.  This earthy jacket by fabindia for men is perfect for the artsy intellectual. The superior comfort provided by the cotton blended fabric with a traditional yet fashionable cut makes this a wardrobe essential. Pair it with colourful cotton trousers to go all out and make a colour block statement. For the more conservative, pair it with simple form fitting denims, tees and sandals.  Model statistics The product is a size 40 on a model of height 6' and shoulders 18""",Fabindia Men Navy Blue Bhagalpur Nehru Jacket,Nehru Jackets
42828.jpg,"Style Note This pair of wristbands by nike will be your saviour on a long run or during an energetic game of tennis. Made from cotton and nylon, keep the sweat away so you can concentrate on your game. Product Details Red wristbands with Nike swoosh in white Material   and Care 72% cotton 22% nylon 4% rubber and 2% spandex Machine wash cold Do not bleach, iron or dry clean Line Dry",Nike Unisex Swoosh Red Wristbands,Wristbands
19739.jpg,"From a fashion accessory to an all-season necessity, the umbrella has come a long way. This compact umbrella from united colors of benetton has been crafted with absolute waterproof material and unique prints that give you a colourful edge in all seasons!  Three-fold umbrella with eight ribs and stretchers made of stainless steel Shade and cover made of 100% polyamide for waterproofing and easy storage Cap measures 100 cm in diameter when opened up Umbrella measures 24 cm in length when packed Green and black striped print shade and cover with green and black striped print Sturdy stainless steel tube with a runner, top and bottom spring, and an open cap Black rounded plastic tip cup and press button on the umbrella that has the Big Ben logo Haul loop for hanging ease  Care Wipe dust and dirt with a damp, clean cloth Hang dry in shade",United Colors of Benetton Women Stripes Blue Black Umbrella,Umbrellas
51332.jpg,"Style Note Embrace the outdoors-come rain or shine with wildcraft's range of Active rainwear. Uniquely crafted to ensure comfort while braving the elements, this pair of trousers also has waterproof pockets with Velcro closures to keep your monetary essentials dry. Product details Black full length rain trousers, two side pockets with Velcro closures, adjustable elasticated hemline, branding on left leg, wide elasticated waistband Material and Care Synthetic Machine wash cold Do not iron Size and Fit Regular Fit The model ( height5'8""and waist 34"") is wearing a size M Please note that the thread colour in the brand logo may vary from the image shown",Wildcraft Men Black Rain Trousers,Rain Trousers
51455.jpg,"Style Note tonga's summer collection features head-turning designs, fashion-forward yet classic, this piece will stay in vogue up to the next season. Tap into summer's aesthetic effortlessly while chanelling the runway's hottest trends. Style this with a tapering pair of denims, a monochrome top (we recommend a wedge heel for the spring) for maximum effect. Product Details Pink and black printed shrug, has ruffles all over, black piping and an open placket Material and Care 95% polyester, 5% spandex Hand wash cold Do not bleach Hang or line dry Size and Fit Regular fit The model (height 5'8"" and chest 33"") is wearing a size M",Tonga Women Pink Printed Shrug,Shrug
40826.jpg,"Set of 2 yellow and orange cushion covers, has floral prints, piping along the border and concealed zipper",Swayam Unisex Yellow and Orange Cushion Covers (Set of 2),Cushion Covers
51981.jpg,"Style Note Wondering what's comfy yet pretty enough to be worn with your favourite PJs or leggings? inaya comes up with this super soft top you can wear with night-clothes or with your denims for a quick grocery run! What's more it's organic - the      fabric (modal) is cellulose fiber extracted from beechwood! Product Details Black V-neck top with satiny trims along the neck and placket region, short sleeves with slits on top and a curved and vented hem Material and Care Shell: 93% modal 7% lycra Trim: 97% poly 3% spandex Machine wash at 40 degrees in gentle cycle Do not bleach Tumble dry",Inaya Women Black Lounge Top,Lounge Tshirts
57859.jpg,"Biotique Bio Honey Water Clarifying Toner is blended with pure honey, aloe vera, manjishtha, nutgalls, carrot, sandalwood and the fresh waters found in the foothills of the Himalayas 100% botanical extracts Refreshes, tones and brightens complexion Brings skin into perfect pH balance Suitable for all skin types",Biotique Bio Honey Water Clarifying Toner,Toner
44662.jpg,"Style Note Keep cool and dry while you exercise in this white headband from nike. Made of blended fabric, this headband is an essential part of any athlete's kit. Product Details White knitted toweling band with Nike swoosh logo embroidered in black Material and Care Blended fabric Machine wash warm Do not bleach Drip dry Do not dry clean Do not iron",Nike Unisex White Swoosh Headband,Headband
56365.jpg,"Strictly Private is composed of basil and bergamot in top, with juniper berries adn pink pepper. Heart is dominated by masculine vetiver combined with fir resin, patchouli and rose absolute. Base notes incorporate a classic mixture of cedar, vanilla and amber with creme-brulee accords.",Baldessarini Men Strictly Private 90 ml After Shave Lotion,Mens Grooming Kit
40122.jpg,"Style Note adidas, striving always to enable utmost efficiency and ease in the sporting arena, has now engineered this black head band. Be it your weekend marathon or your daily work out, this band by Adidas is here to add style and convenience to all you fitness and Sports freaks out there! Product Details Black coloured head band with Blue 'Adidas' logo in the centre, both sides with tapered ends and one side with Adidas tri stripe in blue Material and Care 100% polyester Hand wash cold water Do not dry clean Line dry",ADIDAS Unisex Black Clima Chill Headband,Headband
43230.jpg,Black and grey key holder with a silver toned loop on one side and a loop with lever closure on the other side to hook onto backpacks,Wildcraft Unisex Black & Grey Carabiner Key Chain,Key chain
50379.jpg,  Black and white striped salwar and dupatta set  dupatta &ndash  Dupatta with a crushed / wrinkled look and beaded tassels at the edges  salwar &ndash  Salwar bottoms with drawstring tie at the waist and pleats from below the waist  Black and white striped Salwar and Dupatta set Dupatta &ndash  Dupatta with a crushed / wrinkled look and beaded tassels at the edgesSalwar &ndash  Salwar bottoms with drawstring tie at the waist and pleats from below the waist,Vishudh Women Black & White Salwar and Dupatta,Salwar and Dupatta
58600.jpg,Pink hairband with colourful fabric flower details on the centre,ToniQ Women Pink Hair Accessories,Hair Accessory
30739.jpg,-,Fabindia Men Reversible Blue Sleeveless Jacket,Nehru Jackets
12439.jpg,Winter's all set to arrive  so gear up and prepare your wardrobe to enjoy the chill in style this season with this winter hat from timberland. Made of 100% acrylic to stretch comfortably and lock the body warmth and keep the winter chill away Heavy rib construction for comfort Foldover hem that allows you to roll it down when needed Care Gently hand wash in lukewarm water using a mild detergent Drip dry in shade,Timberland Unisex Casual Red Skull Caps,Hat
57608.jpg,Rehydrates skin and enhances its moisture retention capacity. This special formula is quickly absorbed in the skin,Lotus Herbals Rosetone Facial Skin Toner,Toner
55835.jpg,"Acetone, toulene and DBP free nail polish remover Has Protein and Vitamin B5 elements to strengthen nails Natural emollients that condition the nail",Colorbar Acetone Free Nail Enamel Remover,Nail Essentials
55394.jpg,Lifts away transfer resistant makeup with ease Ophthalmologist tested,Revlon Eye & Lip Makeup Remover,Makeup Remover
38445.jpg,A black iPad holder with pink abstract designs on it One main zipped compartment,Baggit Women Black I-Pad Cover,Tablet Sleeve
8934.jpg,"Enhance your Sports performance with these stylish and useful wristbands from puma. Designed for comfort and style, it’s sure to extend that extra support to tennis and Basketball players, while those who love to ride the bike can add some zing to their outfit with this pair of wristbands. Made of 62% nylon, 26% silicon and 12% rubber for absolute durability, sweat protection, comfort and style Conveniently elasticated to sit snug around the wrists without causing irritation Embossed branding on the upper for style Care Wipe dust with a dry, clean cloth",Puma Unisex Fundamentals Black Wristbands,Wristbands
57419.jpg,"Blue robe, has a V-neck, an open front with a tie-up detail, three quarter sleeves with lace cuffs",Amante Blue Robe,Robe
8933.jpg,"Pink wristband for absolute durability, sweat protection, comfort and style Conveniently elasticated to sit snug around the wrists without causing irritation Embossed branding on the upper for style",Puma Unisex Fundamentals Pink Wristbands,Wristbands
59673.jpg,"Red lehenga with unstitched blouse material, has heavy gold embroidery, sequin and mirror work. Comes with a matching dupatta (a long, ethnic scarf to be worn around the head or shoulders)",FNF Red Bridal Collection Lehenga Choli,Lehenga Choli
55561.jpg,"Reduces dark circles, puffiness and discoloration at the eye region Contains Vitamin A, E, C and B5 elements Infused with sunscreen agents, has botanical extracts",Revlon Touch & Glow Advanced Fairness Under Eye Repair Cream,Eye Cream
42065.jpg,"Black upper with a short handle on top and a trolley system with a plastic base Two main compartments and a zipped slot in the front One main compartment has pockets, a zippered pocket and a padded laptop holder with a Velcro closure One main compartment has lots of packing space and a netted zipped pocket Warranty: 3 years Warranty provided by the brand owner / manufacturer",American Tourister Unisex Black Trolley Bag,Trolley Bag
57874.jpg,"Biotique Bio Coco Butter Tissue Firming Body Balm, is enriched with pure cocoa butter, mustard oil, the bark of the arjun tree and Indian butter, to give the body a firmer, more toned appearance, nourishes skin and helps reduce the look of scars and stretch marks with regular use.",Biotique Bio Coco Butter Tissue Firming Body Balm,Body Lotion
17640.jpg,"This black Sports headband from Puma, made of soft and stretchy 80% cotton knit and 10% rubber and 10% nylon, is an essential part of any athlete's kit.",Puma Unisex Cat Black Headband,Headband
58548.jpg,"Lens colour: Brown Lens type: High optical grade lenses with glare control, 100% distortion free vision and 100% UV 400 protection Frame colour: Brown Frame type: Rounded, full frame and arms (with embellishments) made of superior, corrosion resistant material High bridge and fixed ergonomically shaped nose-holder The glasses come in a signature miami blues case Warranty: 1 year",Miami Blues Women Sunglasses,Ties and Cufflinks
57766.jpg,"Fresh apricot scrub which comes in a plastic tube with a flip cap, exfoliates dead skin cells, cleans clogged pores and removes black heads from skin, refines skin and restores skin moisture, leaving it glowing and fresh",Lotus Herbals Apriscrub Fresh Apricot Scrub 60g,Face Scrub and Exfoliator
21163.jpg,"Composition Grey sleeveless top made of 50% wool and 50% acrylic, has metal stud embellishments on the front and cut-out patterning at the back Fit Regular Wash care Hand wash Do not dry clean, tumble dry, wring, or bleach Dry flat in shade Cool iron This season's texture trend is nailed in this luxe shrug top with its plush fabric. Style this soft piece from s.oliver with jeggings, tie-up casual shoes and a tonal tee inside. Model statistics The product is a size M on a model of height 5'8"" and chest 33""",s.Oliver Women Solid Grey Shrug,Shrug
12440.jpg,Winter's all set to arrive  so gear up and prepare your wardrobe to enjoy the chill in style this season with this winter hat from timberland. Made of 100% acrylic to stretch comfortably and lock the body warmth and keep the winter chill away Heavy rib construction for comfort Foldover hem that allows you to roll it down when needed Care Gently hand wash in lukewarm water using a mild detergent Drip dry in shade,Timberland Unisex Casual Black Skull Caps,Hat
55197.jpg,Lakme nail colour Remover is enriched with Vitamin E to prevent extra dryness around your nails,Lakme Nail Colour Remover,Nail Essentials
56432.jpg,Pink scented nail polish remover Comes in a plastic bottle with a plastic top,Streetwear Nail Color Remover,Nail Essentials
55198.jpg,"Lakme Absolute Bi-Phased Makeup Remover Removes all kinds of lip, eye and face make-up It has a unique formula, the oil helps in lifting off the make-up while water helps in deeply refreshing the skin",Lakme Absolute Bi-Phased Make-Up Remover,Makeup Remover
6845.jpg,"These hard-working laces are for our classic boots and hikers with up to nine eyelets. The durable blend of cotton and polyester is designed for long-lasting performance under all conditions. Method of application   44 inch length  62% cotton, 38% polyester for long wear  Fits boots and shoes with up to 6 x 2 eyelets ",Timberland Unisex Hiker Round Lace Shoe Accessories,Shoe Laces
55286.jpg,lakme All Over Shimmer Gloss is a creamy gloss,Lakme All Over Shimmer Gloss,Beauty Accessory
57683.jpg,Aloe Soft body lotion has an SPF 20 for all skin types It moisturizes and nourishes your skin for brilliant radiance Enriched with aloe vera and cucumber extracts,Lotus Herbals Aloe Soft Body Lotion,Body Lotion
57763.jpg,"Exfoliates dead skin cells, cleans clogged pores and removes black heads from skin. Refines the skin, leaving it glowing and fresh",Lotus Herbals Apriscrub,Face Scrub and Exfoliator
38223.jpg,Lens colour: Black Lens type: Polaroid polarized lenses block out virtually 100% of glare Frame colour: Black Frame type: Plastic full frame with plastic arms High bridge and flexible nose pads The glasses come in a signature Polaroid case Warranty: 1 year,Polaroid Women Sunglasses,Ties and Cufflinks
49102.jpg,Ultra smooth silicon based applicator High-sheen gloss Volumizing lip plumper that's dermatologically tested,Deborah Burgundy Volume Lip Plumper 03,Lip Plumper
52003.jpg,"Purple and black top, has a round neckline, long sleeves, diamond shaped pattern on the chest and upper back and sleeves, gathers from below the bust and asymmetric curly hemline",Inaya Women Black Lounge Top,Lounge Tshirts
50386.jpg,  Blue and green printed salwar and dupatta set  dupatta &ndash  Dupatta with a crushed / wrinkled look and beaded tassels at the edges  salwar &ndash  Salwar bottoms with drawstring tie at the waist and pleats from below the waist  Blue and green printed Salwar and Dupatta set Dupatta &ndash  Dupatta with a crushed / wrinkled look and beaded tassels at the edgesSalwar &ndash  Salwar bottoms with drawstring tie at the waist and pleats from below the waist,Vishudh Women Turquoise Blue Salwar and Dupatta,Salwar and Dupatta
55351.jpg,"Removes nail enamel quickly Blend of triple dissolvers for fast action Leaves nails healthy, not dry or stripped",Revlon Extra Gentle Nail Polish Remover,Nail Essentials
55119.jpg,"Lakme Dual Sharpener, burgundy, has branding at the back Sharpens lip and eye pencils",Lakme Dual Sharpener,Beauty Accessory
50383.jpg,  Red and white striped salwar and dupatta set  dupatta &ndash  Dupatta with a crushed / wrinkled look and beaded tassels at the edges  salwar &ndash  Salwar bottoms with drawstring tie at the waist and pleats from below the waist  Red and white striped Salwar and Dupatta set Dupatta &ndash  Dupatta with a crushed / wrinkled look and beaded tassels at the edgesSalwar &ndash  Salwar bottoms with drawstring tie at the waist and pleats from below the waist,Vishudh Women Printed Red Salwar and Dupatta,Salwar and Dupatta
58158.jpg,"Maroon shrug with long sleeves, shawl neck ends at the waist at the back and extends below the knee in the front to style it in multiple ways, rectangular shape when opened",Latin Quarters Women Maroon Shrug,Shrug
57685.jpg,Lotus Herbals Almond Nourish Body Lotion with SPF 20 It moisturizes and nourishes your skin for brilliant radiance Enriched with almond oil Comes in a press dispenser,Lotus Herbals Almond Nourish Body Lotion with SPF 20,Body Lotion
30741.jpg,"Composition Brown sleeveless ethnic jacket made of silk, has a Nehru collar, full buttoned placket, two insert pockets on the sides with a smaller insert pocket on the left chest and a vented hem   Fit  Regular   Wash care  Dry clean only  This earthy jacket by fabindia for men is perfect for the artsy intellectual. The superior comfort provided by the silk fabric with a traditional yet fashionable cut makes this a wardrobe essential. Pair this with colourful cotton trousers to go all out and make a colour block statement. For the more conservative, pair it with simple form fitting denims, tees and sandals.   Model  statistics  The product is a size 40 on a model of height 6' and shoulders 18""",Fabindia Men Brown Silk Sleeveless Jacket,Nehru Jackets
55337.jpg,toner infused with exclusive revlon BotafirmÂ ®  SCULPT-LOGIC technology that helps to diminish visible signs of aging Matrixyl 3000 technology restores strength and firmness to skin Protein bound salicylic acid helps speed up skin regeneration,Revlon Age Defying Sculpt -Logic Re-shaping Toner,Toner
55352.jpg,"Removes nail enamel quickly Blend of triple dissolvers for fast action Leaves nails healthy, not dry or stripped",Revlon Extra Fast Nail Polish Remover,Nail Essentials
51944.jpg,"A brown iPad holder with a buttoned flap, has brand badge in the front Lushly padded fabric inner",Yelloe Unisex Brown iPad Sleeve,Tablet Sleeve
57890.jpg,"Bio Seaweed Revitalising Anti Fatigue Eye Gel has China ghas, punarnava, bahera, almond, nutmeg, honey, cucumber and Himalayan water",Biotique Bio Seaweed Revitalizing Anti-Fatigue Eye Gel,Eye Cream
51334.jpg,"Style Note Embrace the outdoors-come rain or shine with wildcraft's range of Active rainwear. Uniquely crafted to ensure comfort while braving the elements, this pair of trousers also has waterproof pockets with Velcro closures to keep your monetary essentials dry. Product details Navy Blue full length rain trousers, two side pockets with Velcro closures, adjustable elasticated hemline, branding on left leg, wide elasticated waistband Material and Care Synthetic Machine wash cold Do not iron Size and Fit Regular Fit The model ( height5'8""and waist 34"") is wearing a size M Please note that the thread colour in the brand logo may vary from the image shown",Wildcraft Men Navy Blue Rain Trousers,Rain Trousers
57879.jpg,"This exfoliating scrub is blended with pure papaya fruit to dissolve dead surface cells, unclog pore openings and smooth the way for clear skin to surface. Gentle refining action uncovers skin's natural brightness for a younger-looking complexion. Skin type- For All Skin Usage- Massage on wet face and neck with fingertips. Avoid eye area. Remove with water or damp washcloth. Use daily or as needed.",Biotique Women Bio Papaya Revitalizing Scrub,Face Scrub and Exfoliator
39523.jpg,"Style Note peter england presents a wide range of efficient, everyday travel gear combined with impressive style. This compact and trendy one dayer trolley from Peter England, specifically designed for all your exciting getaways, strikes the right balance between convenience and style. The purple inners, mesh compartment and a smaller compartments are anbsp; smart, neat and compact way to carry your laptop, files, clothes and all your essentials and on thenbsp; top of our wishlist! Product Details One main zipped compartment, with a laptop compartment that has a velcro closure One flap in the middle which has an organiser sleeve and a zipped mesh compartment Two holders with click clasps to hold clothes in place Two elasticated buttoned closures for the mesh compartment One zipped pocket on the front and a smaller compartment with concealed magnetic buttoned closures One zipped pocket at the back with a small insert pocket for enhanced space Two legs and two wheels at the base One extendable trolley handle and one short padded handle for carrying ease Branding on the front Material and Care Synthetic Use damp cloth to remove dust and dirt Warranty : 6 months Size Height: 46 cm Width: 22 cm Length: 38 cm Warranty provided by the brand owner / manufacturer",Peter England Unisex Black One Dayer Black Trolley Bag,Trolley Bag
42831.jpg,"Style Note Keep cool and dry while you exercise in this black headband from nike. Made of blended fabric, this headband is an essential part of any athlete's kit. Product Details Black knitted toweling band with Nike swoosh logo embroidered in white Material and Care Blended fabric Wash care Machine wash warm Do not bleach Drip dry Do not dry clean Do not iron",Nike Unisex Black Headband,Headband
57889.jpg,"Biotique Bio Chlorophyll Oil-Free Anti-Acne Gel Anti-bacterial moisturiser blended with chlorophyll and extracts of seaweed, sea algae, aloe vera and gum arabic to tighten pores, avert  blemishes, and keep skin nourished and clear without flaking For oily and acne-prone skin",Biotique Bio Chlorophyll Oil-Free Anti-Acne Gel,Face Serum and Gel
55836.jpg,Purple toned nail polish remover,Colorbar Nail Polish Remover,Nail Essentials
42064.jpg,"Style Note american tourister presents a wide range of efficient, everyday laptop wheeler bag combined with impressive style. This compact and trendy trolley is specifically designed for your weekends away at work, strikes the right balance between convenience and style. The various compartments are anbsp; smart, neat and compact way to carry your laptop, files, clothes and all your essentials and is on thenbsp; top of our wishlist this year! Product Details One main zipped compartment for clothes, two holders with click clasps to hold clothes in place, with an inner zipped pocket on the left and a mesh zipped pocket on the right One zipped compartment with a zipped, removable and mesh laptop holder for carrying ease One zipped pocket on the front with a partition for enhanced space A smaller compartment on the front with an organiser sleeve to hold all your small essentials One stand and two wheels at the base One extendable trolley handle that has a zipped closure and one short padded handle for carrying ease Branding on the front Material and Care Synthetic Use damp cloth to remove dust and dirt Warranty :2 years Size Height: 34 cm Width: 44 cm Length: 21 cm Warranty provided by the brand owner / manufacturer",American Tourister Unisex Black Trolley Bag,Trolley Bag
17641.jpg,White knitted and elasticated headband that comes in one free-size Branding embroidered on the front,Puma Unisex Cat White Headband,Headband
30740.jpg,"Composition Brown ethnic jacket made of silk, sleeveless, has a nehru collar with full buttoned placket, two pockets on the lower front and a vented hem  Fit Regular  Wash care Dry clean only  This earthy jacket by fabindia for men is perfect for the artsy intellectual. The superior comfort afforded by the silk fabric and comfortable yet fashionable cut makes this a wardrobe essential. Pair this with colourful cotton trousers to go all out and make a colour block statement. For the more conservative, pair it with simple form fitting denims and sandals.  Model statistics The product is a size M on a model of height 6' and shoulders 18""",Fabindia Men Brown Silk Sleeveless Jacket,Nehru Jackets
14872.jpg,"From a fashion accessory to an all-season necessity, the umbrella has come a long way. This compact umbrella from united colors of benetton has been crafted with absolute waterproof material and unique prints that give you a colourful edge in all seasons! Three-fold umbrella with eight ribs and stretchers made of stainless steel Shade and cover made of 100% polyamide for waterproofing and easy storage Cap measures 100 cm in diameter when opened up Umbrella measures 24 cm in length when packed Blue shade and cover with purple and white heart and flower print Sturdy stainless steel tube with a runner, top and bottom spring, and an open cap Blue rounded plastic tip cup that has the Big Ben logo Haul loop for hanging ease  Care Wipe dust and dirt with a damp, clean cloth Hang dry in shade",United Colors of Benetton Women Printed Blue Umbrellas,Umbrellas
14874.jpg,"From a fashion accessory to an all-season necessity, the umbrella has come a long way. This compact umbrella from united colors of benetton has been crafted with absolute waterproof material and unique prints that give you a colourful edge in all seasons!  Three-fold umbrella with eight ribs and stretchers made of stainless steel Shade and cover made of 100% polyamide for waterproofing and easy storage Cap measures 100 cm in diameter when opened up Umbrella measures 24 cm in length when packed Purple shade and cover with green and black striped print Sturdy stainless steel tube with a runner, top and bottom spring, and an open cap Black rounded plastic tip cup that has the Big Ben logo Haul loop for hanging ease  Care Wipe dust and dirt with a damp, clean cloth Hang dry in shade",United Colors of Benetton Women Stripes Purple Umbrellas,Umbrellas
52021.jpg,"Brown printed nightdress, has a V neckline, cap sleeves, front and back solid brown yoke, drawstring tie below the bust and elasticated below the bust and tribal print on the sleeves and from below the bust",Inaya Women Lounge Top,Lounge Tshirts
30742.jpg,"Composition Blue and grey striped sleeveless ethnic jacket made of silk, has a Nehru collar, full buttoned placket, two insert pockets on the sides with a smaller insert pocket on the left chest and a vented hem   Fit  Regular   Wash care  Dry clean only  This earthy jacket by fabindia for men is perfect for the artsy intellectual. The superior comfort provided by the silk fabric, combined with the comfortable yet fashionable cut makes this a wardrobe essential. Pair this with colourful cotton trousers to go all out and make a colour block statement. For the more conservative, pair it with simple form fitting denims, a tee and sandals.   Model  statistics  The product is a size 40 on a model of height 6' and shoulders 18""",Fabindia Men Striped Blue Silk Sleeveless Jacket,Nehru Jackets
42066.jpg,Black key case with stitched detail that is secured with dual press button closures Has one main compartment The left and right fold has a slip pocket The central fold has a tab with five key holders with a lobster clasp closure that,American Tourister Unisex Black Key Case,Key chain
49104.jpg,Ultra smooth silicon based applicator High-sheen gloss Volumizing lip plumper that's dermatologically tested,Deborah Natural Beige Volume Lip Plumper 6,Lip Plumper
49101.jpg,Ultra smooth silicon based applicator High-sheen gloss Volumizing lip plumper that's dermatologically tested,Deborah Truy Pink Volume Lip Plumper 01,Lip Plumper
55834.jpg,Multi-purpose shimmering powder with a silk-like texture Comes with a sponge applicator Minimises appearance of pores and lines,Colorbar Miss Reflective Body Shimmer 001,Beauty Accessory
59672.jpg,"Brown and gold lehenga with unstitched blouse material, has heavy gold embroidery, sequin work. Comes with a matching dupatta (a long, ethnic scarf to be worn around the head or shoulders)",FNF Brown & Gold Bridal Collection Lehenga Choli,Lehenga Choli
17533.jpg,"Created using a blend of acrylic and wool, this cap from ADIDAS is a perfect blend of comfort and style.  Knitted cap made of an acrylic/wool blend, has a ribbed hem and embroidered brand name and brand label on the hem  Cap care Wash inside out separately using mild detergent Do not bleach, soak or tumble dry Dry in shade Cool iron",ADIDAS Unisex Beanie Black Skull Caps,Hat
42830.jpg,"Style Note This pair of wristbands by nike will be your saviour on a long run or during an energetic game of tennis. Made from cotton and nylon, keep the sweat away so you can concentrate on your game. Product Details Black wristbands with Nike swoosh in white Material   and Care 72% cotton 22% nylon 4% rubber and 2% spandex Machine wash cold Do not bleach, iron or dry clean Line Dry",Nike Unisex Swoosh Black Wristbands,Wristbands
54992.jpg,"Black and beige leopard print shrug, shaped hem, racer back",Femella Women Black & Beige Shrug,Shrug
17642.jpg,"This red Sports headband from puma, made of soft and stretchy 80% cotton knit, 10% rubber and 10% nylon, is an essential part of any athlete's kit. Keep cool and dry while you exercise or play active sports, or team it with casual wear for a sporty look. One size fits all in this knitted toweling band with puma logo embroidered in pearly white.  Wash care Machine wash warm Do not bleach Drip dry Do not dry clean Do not iron",Puma Unisex Cat Red Headband,Headband
50385.jpg,Pink and white printed salwar and dupatta set dupatta with a crushed / wrinkled look and beaded tassels at the edges salwar bottoms with drawstring tie at the waist and pleats from below the waist,Vishudh Women Pink Salwar and Dupatta,Salwar and Dupatta
